iter	Passed	Remaining
400	19104	76178
401	19163	76177
402	19214	76141
403	19266	76111
404	19313	76062
405	19359	76008
406	19403	75944
407	19449	75890
408	19497	75845
409	19543	75791
410	19587	75729
411	19633	75676
412	19677	75614
413	19724	75562
414	19770	75509
415	19815	75449
416	19862	75400
417	19904	75333
418	19950	75277
419	19996	75225
420	20043	75175
421	20086	75110
422	20130	75048
423	20181	75014
424	20225	74952
425	20272	74904
426	20320	74856
427	20363	74791
428	20412	74750
429	20458	74697
430	20500	74629
431	20545	74572
432	20591	74518
433	20641	74481
434	20694	74453
435	20745	74416
436	20789	74357
437	20835	74303
438	20883	74258
439	20928	74202
440	20973	74145
441	21018	74086
442	21062	74026
443	21111	73985
444	21157	73933
445	21203	73878
446	21251	73834
447	21295	73772
448	21343	73728
449	21389	73675
450	21438	73632
451	21481	73569
452	21524	73506
453	21576	73473
454	21625	73430
455	21667	73364
456	21710	73302
457	21757	73254
458	21807	73214
459	21860	73184
460	21910	73145
461	21965	73123
462	22023	73110
463	22079	73089
464	22128	73049
465	22176	73002
466	22219	72940
467	22273	72911
468	22324	72875
469	22370	72824
470	22419	72780
471	22467	72733
472	22521	72708
473	22572	72670
474	22624	72635
475	22673	72594
476	22720	72544
477	22781	72537
478	22827	72486
479	22874	72435
480	22922	72388
481	22972	72349
482	23026	72319
483	23079	72290
484	23129	72251
485	23183	72221
486	23235	72185
487	23285	72147
488	23334	72102
489	23388	72075
490	23442	72044
491	23497	72019
492	23549	71985
493	23594	71929
494	23646	71893
495	23704	71876
496	23755	71838
497	23801	71786
498	23856	71760
499	23911	71734
500	23959	71686
501	24008	71642
502	24054	71590
503	24102	71541
504	24155	71510
505	24201	71457
506	24243	71392
507	24292	71348
508	24340	71300
509	24389	71254
510	24433	71195
511	24481	71149
512	24525	71090
513	24578	71056
514	24624	71004
515	24666	70940
516	24714	70892
517	24760	70840
518	24813	70806
519	24864	70768
520	24914	70725
521	24966	70690
522	25013	70639
523	25066	70606
524	25114	70558
525	25169	70531
526	25216	70481
527	25270	70451
528	25315	70395
529	25361	70341
530	25406	70286
531	25452	70233
532	25499	70183
533	25542	70122
534	25588	70069
535	25635	70019
536	25684	69973
537	25726	69911
538	25768	69848
539	25811	69786
540	25853	69724
541	25907	69692
542	25954	69642
543	26004	69599
544	26049	69546
545	26099	69503
546	26153	69471
547	26199	69418
548	26243	69361
549	26290	69310
550	26336	69258
551	26386	69217
552	26430	69158
553	26482	69121
554	26531	69077
555	26576	69023
556	26628	68984
557	26675	68934
558	26718	68876
559	26767	68831
560	26814	68781
561	26864	68738
562	26907	68679
563	26952	68622
564	26996	68566
565	27043	68516
566	27090	68466
567	27140	68423
568	27183	68363
569	27230	68316
570	27276	68263
571	27328	68225
572	27375	68174
573	27419	68119
574	27466	68068
575	27510	68011
576	27555	67958
577	27606	67917
578	27654	67870
579	27701	67819
580	27749	67774
581	27800	67734
582	27845	67679
583	27891	67627
584	27936	67572
585	27979	67514
586	28030	67473
587	28072	67411
588	28121	67368
589	28167	67314
590	28213	67264
591	28266	67227
592	28311	67174
593	28357	67121
594	28397	67057
595	28440	66996
596	28489	66952
597	28535	66901
598	28583	66852
599	28633	66811
600	28682	66767
601	28730	66720
602	28777	66671
603	28822	66616
604	28871	66572
605	28918	66521
606	28967	66476
607	29014	66428
608	29063	66382
609	29109	66331
610	29153	66275
611	29208	66243
612	29253	66189
613	29296	66130
614	29342	66080
615	29391	66034
616	29443	65997
617	29487	65940
618	29532	65887
619	29579	65839
620	29625	65787
621	29682	65758
622	29728	65707
623	29777	65664
624	29822	65609
625	29864	65549
626	29919	65518
627	29967	65469
628	30014	65421
629	30058	65366
630	30103	65311
631	30151	65264
632	30197	65212
633	30246	65167
634	30291	65115
635	30338	65066
636	30389	65024
637	30435	64973
638	30480	64919
639	30530	64877
640	30574	64822
641	30621	64773
642	30670	64727
643	30713	64669
644	30760	64620
645	30804	64565
646	30855	64524
647	30899	64469
648	30945	64418
649	30991	64366
650	31037	64315
651	31089	64276
652	31135	64226
653	31181	64175
654	31229	64127
655	31281	64089
656	31330	64044
657	31378	63996
658	31423	63944
659	31465	63884
660	31506	63824
661	31558	63784
662	31603	63731
663	31650	63682
664	31698	63636
665	31743	63582
666	31793	63539
667	31842	63493
668	31889	63444
669	31938	63399
670	31986	63353
671	32037	63312
672	32082	63259
673	32126	63204
674	32171	63151
675	32216	63098
676	32267	63056
677	32318	63016
678	32360	62957
679	32402	62898
680	32446	62844
681	32496	62801
682	32540	62747
683	32589	62701
684	32634	62649
685	32682	62602
686	32735	62564
687	32778	62508
688	32823	62454
689	32865	62396
690	32913	62350
691	32962	62305
692	33011	62258
693	33054	62203
694	33101	62155
695	33148	62106
696	33197	62060
697	33245	62014
698	33295	61970
699	33340	61917
700	33381	61858
701	33427	61807
702	33477	61764
703	33528	61722
704	33577	61678
705	33625	61630
706	33677	61590
